txid,amount,shopper_country,issuer_country,shopper_email,creation_date,card_number_hash,txvariantcode,bin,currency,fraud
35,664607,AU,AU,michael.fairfax@aol.com,02/10/2016 09:12 AM,95d1bff3ea3c427dcc,bcmc_mobile,329951,GBP,0
36,320662,CA,CA,magaret.franchi@msn.com,02/10/2016 10:41 AM,8a513b2ae8cd825d9d,amex_androidpay,207727,NOK,0
37,320525,AU,DE,myrta.tynan@yahoo.com,02/10/2016 11:04 AM,7725a4ac116764cdbb,mcpremiumcredit,392535,SEK,1
38,312114,CA,CA,trey.mikus@msn.com,02/10/2016 11:05 AM,736c4f8742ebd0b1df,visacommercialcredit,679050,SEK,0
39,773088,CN,CN,michael.fairfax@yahoo.com,02/10/2016 12:07 PM,a47e329215c2400b38,visacommercialpremiumdebit,666204,SEK,1
40,5222,CA,CA,daren.burk@msn.com,02/10/2016 12:11 PM,49fa40c04d6edaca63,visacorporatecredit,354846,AUD,0
41,837456,US,US,kendra.kiss@gmail.com,02/10/2016 12:35 PM,f9c28503c6019b5ef8,visabusiness,235575,USD,0
42,580018,FI,FI,sherice.tims@aol.com,02/10/2016 12:38 PM,4d4923b92576a6d484,mcpremiumcredit,710324,NOK,0
43,337208,FR,FR,romelia.salgado@yahoo.com,02/10/2016 01:25 PM,d2a0470a1788a606ad,mcalphabankbonus,976371,EUR,0
44,74339,CN,CN,minh.admire@aol.com,02/10/2016 04:49 PM,dd9b2b0a63212954eb,mcstandardcredit,781341,AUD,0
45,399918,CN,CN,demetrice.lorenzo@msn.com,02/10/2016 05:03 PM,258ee87b9043920c18,visapremiumdebit,926695,USD,0
46,650071,US,US,tess.haslett@hotmail.com,02/10/2016 05:12 PM,b538f220ff0b3c5051,mc_androidpay,328460,AUD,0
47,113457,NO,NO,soon.steiger@aol.com,02/10/2016 05:46 PM,cfe56c2445264908ff,mccorporate,170157,CNY,0
48,98650,DE,DE,margarete.wadlow@msn.com,02/10/2016 07:42 PM,3ffceb74b6056ed0bf,mc,234592,CAD,0
49,312003,UA,UA,sarita.surprenant@yahoo.com,02/10/2016 09:28 PM,40f7f1f38fd9a391b7,mcstandarddebit,470620,CNY,0
50,502124,CN,CN,trey.mikus@msn.com,02/10/2016 09:49 PM,31af615aafc598350a,mc,757938,CAD,0
51,761425,FR,FR,romelia.salgado@yahoo.com,02/10/2016 11:27 PM,196edf962f72cab6fa,visapremiumcredit,942171,AUD,0
52,251181,AU,AU,dewey.pogue@yahoo.com,02/10/2016 11:35 PM,d0e570f5624177196f,visaalphabankbonus,567437,CAD,0
53,201016,NI,RO,francesco.mccormack@hotmail.com,03/10/2016 12:10 AM,1c6fb6ef40876cb7f2,electron,793621,GBP,0
54,905146,BE,BE,judy.minix@gmail.com,03/10/2016 12:22 AM,9beabbca48dca23dba,mcpro,793412,CAD,0
55,470505,RO,RO,teresa.hilgefort@gmail.com,03/10/2016 01:15 AM,e73a86c05f65c75bec,visasuperpremiumdebit,347346,CAD,0
56,167146,BE,BE,ezequiel.alcala@hotmail.com,03/10/2016 01:16 AM,b63bed6571a3fef6fc,visadankort,365049,EUR,0
57,841485,NL,NL,fritz.burtch@msn.com,03/10/2016 01:51 AM,2c87035faac2fccf23,maestrouk,179633,AUD,0
58,805114,BE,BE,lavenia.jaffee@hotmail.com,03/10/2016 03:40 AM,c6dcfb926f34ecc65e,visasignature,161033,SEK,0
59,908727,FI,FI,daren.burk@aol.com,03/10/2016 04:26 AM,b495b49e99e42180e6,visacommercialsuperpremiumdebit,963736,AUD,0
60,531885,AU,AU,jutta.festa@yahoo.com,03/10/2016 06:22 AM,497ed39862c8bc3a2c,visapurchasingcredit,386222,SEK,0
61,439521,RO,RO,trudie.iglesia@hotmail.com,03/10/2016 10:03 AM,00bb7e357bc1308298,visagold,654678,GBP,0
62,548288,SE,SE,jutta.festa@hotmail.com,03/10/2016 10:27 AM,64adc459eae4ca4a35,vpay,376662,NOK,0
63,840818,CN,CN,daren.burk@gmail.com,03/10/2016 10:59 AM,42d90291dc15fa9580,amex_samsungpay,430593,CAD,0
64,972717,AU,AU,sherice.tims@hotmail.com,03/10/2016 11:45 AM,9221d5ceb7d7b458a9,visaplatinum,980623,EUR,0
65,470765,NO,NO,rayford.vesey@yahoo.com,03/10/2016 12:00 PM,f5c18b37be96fe62de,amex_applepay,181739,CAD,0
66,157991,NI,GB,beata.swanner@msn.com,03/10/2016 12:12 PM,f4d608712c3d8ad4fc,mcdebit,900742,NOK,0
67,857281,FI,FI,ivy.rickenbacker@aol.com,03/10/2016 01:40 PM,2f0ba81dc3c1e50fc1,visacommercialpremiumdebit,104525,CAD,0
68,287410,BE,BE,elyse.manalo@yahoo.com,03/10/2016 01:59 PM,740f66324ca1d2bbc7,visacommercialpremiumdebit,228778,GBP,0
69,13889,US,US,pearl.letts@gmail.com,03/10/2016 02:34 PM,b9474bbb146d48a8be,travelmoney,470265,EUR,0
70,539453,US,US,agatha.mcclendon@gmail.com,03/10/2016 03:08 PM,09bc426974995f3bfa,visadebit,993856,CAD,0
71,795320,FI,FI,francesco.mccormack@hotmail.com,03/10/2016 03:16 PM,e3c1b42c6b225b9fc2,visabusiness,171691,USD,0
72,78646,AU,AU,phil.moreau@aol.com,03/10/2016 03:49 PM,2935ead497d41fd8cf,mccommercialpremiumdebit,233604,AUD,0
73,613697,FI,FI,daren.burk@aol.com,03/10/2016 05:43 PM,b495b49e99e42180e6,visacommercialsuperpremiumdebit,963736,GBP,0
74,985852,FI,FI,lashay.creager@msn.com,03/10/2016 06:26 PM,d9f8d8c73acb148ae1,mcfleetcredit,142810,USD,0
75,943314,US,US,barbara.cullins@aol.com,03/10/2016 08:01 PM,4ef4b556a1cafb5a46,mcpremiumdebit,706525,SEK,0
76,712714,SE,SE,katharyn.cespedes@aol.com,03/10/2016 10:53 PM,129ec465433461b2d9,mcstandarddebit,559519,USD,0
77,178461,DE,DE,machelle.eastham@hotmail.com,04/10/2016 12:17 AM,37d908c64447395a49,visasuperpremiumdebit,653049,SEK,0
78,347760,NL,NL,agatha.mcclendon@msn.com,04/10/2016 02:24 AM,4beb6c5fad6b4d93cf,visafleetdebit,310035,SEK,0
79,675138,BE,BE,amado.shoulders@msn.com,04/10/2016 04:25 AM,7808e7a3271f81bc92,cirrus,477654,GBP,0
80,623185,US,UA,fritz.burtch@yahoo.com,04/10/2016 06:29 AM,21afc9e03c69fe762f,mc_samsungpay,897911,USD,0
81,752160,DE,DE,margarete.wadlow@msn.com,04/10/2016 06:47 AM,1be63694d9ca847319,mccorporatedebit,169598,USD,0
82,985378,GB,GB,saundra.hershberger@hotmail.com,04/10/2016 06:51 AM,562f9d8b4e15316b2f,visaproprietary,402555,AUD,0
83,94710,BE,BE,elyse.manalo@yahoo.com,04/10/2016 08:42 AM,1bdc6c86e12c90eeb3,visa_samsungpay,171861,EUR,0
84,201177,SE,CN,ouida.riegel@yahoo.com,04/10/2016 08:42 AM,0bb275053ce4b33614,mc_androidpay,770690,AUD,0
85,221467,CN,CN,emma.willems@hotmail.com,04/10/2016 10:24 AM,648e672a7dfe48f775,visacommercialpremiumdebit,548890,USD,0
86,532151,SE,SE,temeka.atterbury@gmail.com,04/10/2016 10:39 AM,d3c2b3064a28ab2bef,mcpro,383903,USD,0
87,667307,FI,FI,hoa.duffer@yahoo.com,04/10/2016 11:15 AM,674d38ae1db50c58cb,visadankort,828132,SEK,0
88,931465,FI,FI,ivy.rickenbacker@aol.com,04/10/2016 12:23 PM,2f0ba81dc3c1e50fc1,visacommercialpremiumdebit,104525,CNY,0
89,207047,FI,FI,wanda.pakele@yahoo.com,04/10/2016 12:33 PM,595750ea4a3d26a622,cirrus,856070,AUD,0
90,116214,BE,BE,alejandra.hollinger@hotmail.com,04/10/2016 01:47 PM,be0d6ff72e642d9943,mcpremiumdebit,693096,SEK,0
91,489006,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:09 PM,7e256630aaff5f0057,mcfleetcredit,747697,NOK,1
92,191531,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:09 PM,d82b35b19f18c8e031,maestro,465094,NOK,1
93,48779,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:10 PM,a47e329215c2400b38,visacommercialpremiumdebit,666204,SEK,1
94,63605,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:10 PM,d82b35b19f18c8e031,maestro,465094,USD,1
95,285125,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:11 PM,a47e329215c2400b38,visacommercialpremiumdebit,666204,SEK,1
96,353675,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:11 PM,d82b35b19f18c8e031,maestro,465094,SEK,1
97,510902,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:11 PM,7e256630aaff5f0057,mcfleetcredit,747697,SEK,1
98,604340,CN,CN,michael.fairfax@yahoo.com,04/10/2016 03:14 PM,a47e329215c2400b38,visacommercialpremiumdebit,666204,GBP,1
99,922415,RO,RO,magen.valentin@yahoo.com,04/10/2016 04:00 PM,107d7e3ed66b2074b3,mcfleetcredit,532743,USD,0
100,3834,BE,BE,louvenia.regnier@hotmail.com,04/10/2016 05:46 PM,2afa187a40d089ba39,mcfleetdebit,629927,CAD,0
101,237740,SE,SE,katharyn.cespedes@aol.com,04/10/2016 07:28 PM,a60de14f9755d9519e,amex_androidpay,818012,USD,0
102,656344,RO,RO,agatha.mcclendon@msn.com,04/10/2016 08:09 PM,c8e8fd2ca98787f6ce,mccommercialpremiumcredit,656178,NOK,0
103,538997,DE,DE,amanda.bork@hotmail.com,04/10/2016 08:57 PM,89a51bb4cd6adf9760,mccorporatedebit,672142,EUR,0
104,53849,CN,CN,carlo.auslander@msn.com,04/10/2016 08:58 PM,0a278b3f43ace470e6,mcpremiumdebit,643623,CAD,0
105,664978,GB,US,annika.locust@gmail.com,04/10/2016 09:00 PM,7a84e9616fe5ccb81a,visafleetcredit,158393,AUD,0
106,471241,RO,RO,melany.waldrep@hotmail.com,04/10/2016 10:39 PM,79ea7d9adb72821869,visa_samsungpay,507096,GBP,0
107,895021,BE,BE,zoraida.durocher@yahoo.com,04/10/2016 11:32 PM,5f10cba9402d825c0c,mccommercialpremiumdebit,512264,EUR,0
108,986213,FR,FR,annamarie.ogle@aol.com,04/10/2016 11:43 PM,c5623acc9652d3e736,"bijcard, mccommercialdebit",197898,GBP,0
109,473012,CN,CN,kimi.hobby@yahoo.com,05/10/2016 02:50 AM,e700d0b81ae5116e39,maestro,498272,NOK,0
110,710192,CA,CA,charmain.elsen@aol.com,05/10/2016 03:14 AM,75cde6a49837f94f06,visadebit,740194,NOK,0
111,166118,RO,RO,magen.valentin@hotmail.com,05/10/2016 03:46 AM,6be0a01c18832c0c26,visafleetdebit,280184,GBP,0
112,695821,NI,NI,bryce.riffel@yahoo.com,05/10/2016 05:59 AM,b1b99279bf0b1c1ece,visabusiness,306302,GBP,0
113,816505,GB,GB,lashay.creager@aol.com,05/10/2016 06:11 AM,e98e05766961082e1e,mcpurchasingcredit,806841,SEK,0
114,228995,RO,CN,jill.reza@msn.com,05/10/2016 06:29 AM,5a0ffc38fdc4fbba03,visacommercialdebit,334131,GBP,0
115,191954,GB,GB,lashay.creager@aol.com,05/10/2016 06:31 AM,a0ffd775edb754412f,visagold,882633,NOK,0
116,194142,GB,GB,ross.whitney@gmail.com,05/10/2016 08:52 AM,57389362d97e6cef2a,jcb,265902,SEK,1
117,86234,DE,DE,conchita.brodeur@msn.com,05/10/2016 08:59 AM,f913bda86fa659624f,visapremiumcredit,869397,EUR,0
118,778279,RO,RO,agatha.mcclendon@msn.com,05/10/2016 09:24 AM,4100c257d265db88f6,mc_applepay,162413,USD,0
119,348973,FI,FI,roselia.stovall@yahoo.com,05/10/2016 10:02 AM,a1317f25acb197ed59,mcsuperpremiumcredit,419809,CNY,0
120,708071,FR,FR,romelia.salgado@hotmail.com,05/10/2016 10:46 AM,239aad4ab803d82097,mc_samsungpay,399673,EUR,0
121,351740,AU,AU,dewey.pogue@yahoo.com,05/10/2016 10:48 AM,fdbb8438bfd1ac6008,mcpro,210033,EUR,0
122,600486,GB,GB,preston.vartanian@aol.com,05/10/2016 11:28 AM,6176a56a71e53bb4f5,mcsuperpremiumcredit,117581,NOK,0
123,663926,AU,AU,kendra.kiss@yahoo.com,05/10/2016 11:37 AM,d3946caa5c58a8f2e2,visasaraivacard,769941,NOK,0
124,416338,GB,GB,beata.swanner@aol.com,05/10/2016 01:02 PM,ef219fa812ba09a836,mccorporate,729222,EUR,0
125,485930,NO,NO,phil.moreau@gmail.com,05/10/2016 02:18 PM,1d75e6f106227af1f1,mcpro,226662,USD,0
126,137442,CA,CA,douglass.moffit@gmail.com,05/10/2016 02:50 PM,ebf4a4704344347108,mccommercialpremiumdebit,756024,USD,0
127,346905,SE,SE,madelaine.tweed@aol.com,05/10/2016 02:53 PM,167c7a818251f5dd04,visaproprietary,748394,USD,0
128,418009,CA,CA,alda.cloyd@msn.com,05/10/2016 03:45 PM,6f7349c67835342b7b,visafleetcredit,350276,SEK,0
129,240547,SE,SE,temeka.atterbury@gmail.com,05/10/2016 04:43 PM,70b9c1d22979c70901,visapremiumcredit,426683,EUR,0
130,132014,US,UA,chery.gateley@hotmail.com,05/10/2016 04:45 PM,63a9fbe5997b2d3e80,visacommercialsuperpremiumdebit,838060,EUR,0
131,533023,DE,DE,herlinda.soltis@msn.com,05/10/2016 05:01 PM,ed725604ec6295d489,maestro,465709,USD,0
132,930146,DE,DE,alda.cloyd@msn.com,05/10/2016 05:15 PM,0e658d9c03d6303abb,visasaraivacard,145949,USD,0
133,45391,DE,DE,machelle.eastham@hotmail.com,05/10/2016 05:38 PM,82baf73391191d66a8,visafleetcredit,924100,EUR,0
134,110110,UA,UA,bertha.desir@yahoo.com,05/10/2016 05:38 PM,e18d8eecbcd6622a34,mcfleetdebit,742909,CNY,0
135,899628,GB,GB,marta.nathaniel@aol.com,05/10/2016 06:12 PM,c340bb916924be0ac9,mcsuperpremiumcredit,375172,USD,0
136,148588,GB,GB,michael.fairfax@hotmail.com,05/10/2016 06:53 PM,a532f355fd612b125b,visasuperpremiumcredit,554099,USD,0
137,112728,GB,GB,lannie.holzwarth@yahoo.com,05/10/2016 07:01 PM,a87ed57b78e033946b,"bijcard, mccommercialdebit",834198,GBP,1
138,24350,DE,DE,rashad.legendre@hotmail.com,05/10/2016 08:33 PM,0393b00d14842499ef,visasuperpremiumcredit,689048,SEK,0
139,404390,US,US,annamarie.ogle@yahoo.com,05/10/2016 08:36 PM,7b65667a0a007cf8a5,visacommercialpremiumcredit,610718,NOK,0
140,544172,NO,NO,phil.moreau@gmail.com,05/10/2016 09:37 PM,1d75e6f106227af1f1,mcpro,226662,EUR,0
141,620028,US,US,annamarie.ogle@yahoo.com,05/10/2016 09:55 PM,101fd1b04b7dd20af1,visasignature,695381,EUR,0
142,509863,RO,RO,jill.reza@gmail.com,05/10/2016 10:46 PM,9068c69375485af2bd,visaalphabankbonus,948587,CAD,0
143,921945,UA,UA,ross.whitney@hotmail.com,06/10/2016 12:47 AM,78f2ba57e3a1c8ddfc,visacommercialpremiumcredit,433547,SEK,0
144,892819,US,US,barbara.cullins@aol.com,06/10/2016 12:47 AM,4ef4b556a1cafb5a46,mcpremiumdebit,706525,CNY,0
145,692622,BE,BE,alejandra.hollinger@hotmail.com,06/10/2016 03:42 AM,502f0410c61058e7d4,mccommercialpremiumcredit,571621,AUD,0
146,172736,BE,BE,elyse.manalo@yahoo.com,06/10/2016 03:47 AM,5a8ce2a5491f5a2b57,mcatm,976964,EUR,0
147,883730,UA,GB,brandee.solomon@aol.com,06/10/2016 04:19 AM,d45120e080a90fb9ea,visastandarddebit,811937,EUR,1
148,799517,US,US,agatha.mcclendon@gmail.com,06/10/2016 04:41 AM,8de31aa345bfd0e7f5,visacredit,673671,NOK,0
149,266842,CN,CN,michael.fairfax@yahoo.com,06/10/2016 06:02 AM,d82b35b19f18c8e031,maestro,465094,EUR,1
150,292905,DE,DE,herlinda.soltis@msn.com,06/10/2016 06:36 AM,b1accc5a26551c9eeb,visasignature,832908,CAD,0
151,293244,BE,BE,jill.reza@yahoo.com,06/10/2016 06:54 AM,2e740bc080140e0ccf,visa,187578,CAD,0
152,629503,NI,NI,madelaine.tweed@aol.com,06/10/2016 07:13 AM,569618a81c93818faf,mc_applepay,302722,EUR,0
153,562458,NO,NO,bryce.riffel@aol.com,06/10/2016 07:15 AM,332f6104e54e8630d8,visacommercialsuperpremiumdebit,549797,GBP,0
154,803245,US,US,chery.gateley@hotmail.com,06/10/2016 08:26 AM,bf56db6bef53182621,mcdebit,450126,NOK,0
155,654069,US,US,tess.haslett@hotmail.com,06/10/2016 09:49 AM,bd9788cc5e6e51f739,visacommercialsuperpremiumcredit,119373,NOK,0
156,821864,CN,CN,audrey.lentini@yahoo.com,06/10/2016 09:50 AM,b439338fc5f2a4935a,mc_applepay,873264,USD,0
157,895227,NI,NI,adolfo.spurlock@msn.com,06/10/2016 10:47 AM,6241c927bf12c36dc9,visacommercialcredit,833909,AUD,0
158,425813,NO,NO,jill.reza@hotmail.com,06/10/2016 11:03 AM,5fe21a357b8b3ef8c5,electron,313140,CNY,0
159,558196,DE,DE,machelle.eastham@hotmail.com,06/10/2016 12:31 PM,82baf73391191d66a8,visafleetcredit,924100,GBP,0
160,514830,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:46 PM,62839450d488a65df5,visaclassic,901013,USD,1
161,809133,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:47 PM,62839450d488a65df5,visaclassic,901013,AUD,1
162,61795,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:47 PM,62839450d488a65df5,visaclassic,901013,USD,1
163,238638,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:48 PM,62839450d488a65df5,visaclassic,901013,EUR,1
164,512616,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:48 PM,62839450d488a65df5,visaclassic,901013,USD,1
165,127110,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:48 PM,62839450d488a65df5,visaclassic,901013,GBP,1
166,994088,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:49 PM,62839450d488a65df5,visaclassic,901013,EUR,1
167,678854,UA,UA,temeka.atterbury@msn.com,06/10/2016 12:49 PM,62839450d488a65df5,visaclassic,901013,NOK,1
168,155773,UA,US,jacki.ulm@hotmail.com,06/10/2016 12:54 PM,aef1f105c148744219,"bijcard, mccommercialdebit",875178,CAD,0
169,347719,CN,CN,bernadette.schildgen@yahoo.com,06/10/2016 02:20 PM,52e3169efe9e44dc1a,mccorporate,639954,GBP,0
170,767750,AU,AU,adolfo.spurlock@aol.com,06/10/2016 03:35 PM,f58b352ff8586d783c,visadankort,937994,AUD,0
171,573611,NO,NO,bernadette.schildgen@yahoo.com,06/10/2016 04:41 PM,d62369a3ac91627513,amex_applepay,458913,CNY,0
172,639087,SE,SE,rayford.vesey@hotmail.com,06/10/2016 05:12 PM,7c97b0c19651382d5e,mcpremiumdebit,455418,USD,0
173,306492,DE,DE,lannie.holzwarth@gmail.com,06/10/2016 05:47 PM,300cdac4f48efc4059,visacredit,939011,SEK,0
174,979434,GB,GB,annika.locust@gmail.com,06/10/2016 06:22 PM,5d53af7337161f4f61,mccorporatecredit,308937,CAD,0
175,79289,UA,UA,adolfo.spurlock@yahoo.com,06/10/2016 06:54 PM,d5fe2400d3a0adb25c,mcpurchasingcredit,458900,EUR,1
176,132623,RO,RO,ermelinda.dumont@aol.com,06/10/2016 07:49 PM,ab005b495e7cb9b9a1,bcmc_mobile,338682,GBP,0
177,161299,SE,SE,leah.gillette@hotmail.com,06/10/2016 08:17 PM,978dd38a338fea68f4,visabusiness,816734,GBP,0
178,831929,RO,RO,roosevelt.poor@gmail.com,06/10/2016 08:30 PM,9613c14bfee9a63cac,mcsuperpremiumcredit,243983,SEK,0
179,219228,US,US,fritz.burtch@hotmail.com,06/10/2016 08:51 PM,a5207fda26afdb9e0b,visaalphabankbonus,433138,NOK,0
180,258590,UA,UA,bertha.desir@yahoo.com,06/10/2016 09:33 PM,e18d8eecbcd6622a34,mcfleetdebit,742909,USD,0
181,627271,CA,CA,conchita.brodeur@aol.com,06/10/2016 11:23 PM,d0dad3295fd82d1687,mccommercialcredit,149075,CNY,0
182,378210,UA,UA,renay.samsel@aol.com,07/10/2016 01:00 AM,ee4ed75de0ab8d1a67,visa,668938,GBP,0
183,263332,BE,BE,ezequiel.alcala@hotmail.com,07/10/2016 01:18 AM,ecd1197ce47477efd6,visafleetcredit,492423,AUD,0
184,91619,NO,NO,bryce.riffel@aol.com,07/10/2016 02:11 AM,68c4cdbc798c9b51e3,visasuperpremiumdebit,437537,EUR,0
185,642337,AU,US,myrta.tynan@yahoo.com,07/10/2016 02:17 AM,671a42e8a6dfd13f10,mcpremiumdebit,214160,CAD,1
186,469298,US,US,ermelinda.dumont@msn.com,07/10/2016 02:49 AM,a6dad806f83ec3d690,visagold,124211,EUR,0
187,45148,NO,NO,rashad.legendre@msn.com,07/10/2016 02:52 AM,6b1360dc2681d1b16f,visagold,211856,CAD,0
188,72189,SE,SE,renay.samsel@aol.com,07/10/2016 02:55 AM,3f031a099229d3e699,visapremiumcredit,575499,GBP,0
189,362340,CA,CA,roselia.stovall@gmail.com,07/10/2016 03:01 AM,084a6721b8bd57ef29,mcfleetdebit,215962,GBP,0
190,701218,CN,NI,sarita.surprenant@gmail.com,07/10/2016 03:11 AM,832793c143b3deb762,visa_applepay,765028,USD,0
191,414681,NI,NI,adolfo.spurlock@msn.com,07/10/2016 03:16 AM,aa5a20043182376814,visa_androidpay,839648,CNY,0
192,865118,GB,GB,sydney.rusek@gmail.com,07/10/2016 04:44 AM,15462020f2e03c4b50,mcsuperpremiumdebit,155862,USD,0
193,428789,CN,CN,minh.admire@aol.com,07/10/2016 05:12 AM,e586b2d8f43880a856,mcpremiumcredit,262257,SEK,0
194,789319,BE,NI,teressa.burbage@msn.com,07/10/2016 05:36 AM,8c4c7e6cfba39260ff,mcfleetdebit,581226,CAD,0
195,260058,AU,AU,pearl.letts@aol.com,07/10/2016 05:44 AM,73739e1598e4947452,mc,961081,EUR,0
196,95220,US,US,katharine.fahey@aol.com,07/10/2016 05:56 AM,2de4995eb097cf65f7,mcstandarddebit,915632,CNY,0
197,20321,CA,RO,hoa.duffer@msn.com,07/10/2016 07:08 AM,40164be5b1b0dd387a,mcalphabankbonus,748481,AUD,0
198,832954,US,US,tess.haslett@hotmail.com,07/10/2016 07:11 AM,fd4aca513d2c86bb4d,mc,118310,SEK,0
199,375660,CN,CN,carlo.auslander@msn.com,07/10/2016 10:04 AM,77b654260349442281,mcsuperpremiumcredit,496288,NOK,0
200,677993,FR,FR,toney.yale@aol.com,07/10/2016 02:43 PM,a74d544738c70e90f9,visasuperpremiumcredit,292631,CAD,0
